# Energy / (eV)	Cross section / cm² per molecule, gaussian broadening, width = 0.05 eV
2.5383369182621225	2.90429278928937e-215
2.5501922724456003	3.467858516328697e-212
2.562047626629078	3.9144108726606284e-209
2.573902980812556	4.17691379332641e-206
2.585758334996034	4.2133610824195605e-203
2.5976136891795116	4.017777769319807e-200
2.6094690433629895	3.621822879589332e-197
2.6213243975464673	3.0864025481544113e-194
2.633179751729945	2.486348458065315e-191
2.645035105913423	1.8934571630864644e-188
2.6568904600969008	1.3631167004969857e-185
2.6687458142803786	9.276724467648584e-183
2.6806011684638564	5.968158398153073e-180
2.6924565226473343	3.6296946301800042e-177
2.704311876830812	2.086814767406064e-174
2.71616723101429	1.1341794608404509e-171
2.7280225851977677	5.827250927526678e-169
2.7398779393812456	2.8302821056324776e-166
2.7517332935647234	1.2995105090357841e-163
2.7635886477482012	5.640452299905225e-161
2.775444001931679	2.3143664779533407e-158
2.787299356115157	8.977065502629539e-156
2.7991547102986347	3.291703600148825e-153
2.8110100644821125	1.1410143735388444e-150
2.8228654186655904	3.73891483310709e-148
2.834720772849068	1.1582014239496368e-145
2.846576127032546	3.391616042950551e-143
2.858431481216024	9.388870128621147e-141
2.8702868353995017	2.456993723558798e-138
2.8821421895829795	6.078253752841692e-136
2.8939975437664573	1.4214699111316137e-133
2.905852897949935	3.1425383046853024e-131
2.917708252133413	6.56761299277798e-129
2.929563606316891	1.2975335352429657e-126
2.9414189605003687	2.4233363316272306e-124
2.9532743146838465	4.2785130430384086e-122
2.9651296688673243	7.140951633651229e-120
2.976985023050802	1.1266872698283401e-117
2.98884037723428	1.6804854152885601e-115
3.000695731417758	2.3694643148019338e-113
3.0125510856012356	3.1582729573132773e-111
3.0244064397847135	3.9795431257574048e-109
3.0362617939681913	4.740245490173922e-107
3.048117148151669	5.337679787207552e-105
3.059972502335147	5.681830368960636e-103
3.0718278565186248	5.717525042378932e-101
3.0836832107021026	5.438910992960413e-99
3.0955385648855804	4.891025109870757e-97
3.1073939190690583	4.157879488775066e-95
3.119249273252536	3.3413961462640517e-93
3.131104627436014	2.5384470079783696e-91
3.1429599816194917	1.8230236396936663e-89
3.1548153358029696	1.2376577439246904e-87
3.1666706899864474	7.943152328240723e-86
3.1785260441699252	4.81913711851142e-84
3.190381398353403	2.7639471854160614e-82
3.202236752536881	1.4985604319955362e-80
3.2140921067203587	7.68073616009191e-79
3.2259474609038366	3.7214783530801305e-77
3.2378028150873144	1.7045596818916668e-75
3.249658169270792	7.380622468434454e-74
3.26151352345427	3.021049453950784e-72
3.273368877637748	1.1689790899013952e-70
3.2852242318212257	4.27601987788678e-69
3.2970795860047035	1.4786206004444788e-67
3.3089349401881814	4.833456943215601e-66
3.320790294371659	1.4936299738230723e-64
3.332645648555137	4.363271636926147e-63
3.344501002738615	1.2049403449919353e-61
3.3563563569220927	3.1455957234275755e-60
3.3682117111055705	7.7629060435916325e-59
3.3800670652890483	1.8110474054274148e-57
3.391922419472526	3.9941040231288745e-56
3.403777773656004	8.327084833305604e-55
3.415633127839482	1.6411590471092595e-53
3.4274884820229596	3.0576827120691333e-52
3.4393438362064375	5.385403259475386e-51
3.4511991903899153	8.966606361493555e-50
3.463054544573393	1.4113087836861585e-48
3.474909898756871	2.0999069409713483e-47
3.486765252940349	2.9536709940292667e-46
3.4986206071238266	3.92742817750925e-45
3.5104759613073044	4.936719477402661e-44
3.5223313154907823	5.866143899580156e-43
3.53418666967426	6.589478408390826e-42
3.546042023857738	6.997347315809763e-41
3.5578973780412158	7.024248814239401e-40
3.5697527322246936	6.665771272990729e-39
3.5816080864081714	5.97977705417606e-38
3.5934634405916492	5.0711171311129286e-37
3.605318794775127	4.065428766553269e-36
3.617174148958605	3.0810101876941806e-35
3.6290295031420827	2.2073132860021027e-34
3.6408848573255606	1.4949232103032691e-33
3.6527402115090384	9.571011913446402e-33
3.664595565692516	5.792698079614478e-32
3.676450919875994	3.314270828311125e-31
3.688306274059472	1.7925825305071722e-30
3.7001616282429497	9.165462601656717e-30
3.7120169824264275	4.430101576316797e-29
3.7238723366099054	2.024216884413687e-28
3.735727690793383	8.743482930467471e-28
3.747583044976861	3.570228022861256e-27
3.759438399160339	1.3781341889840256e-26
3.7712937533438167	5.0288782783132314e-26
3.7831491075272945	1.7347416483313993e-25
3.7950044617107723	5.656952750642327e-25
3.80685981589425	1.743871025742198e-24
3.818715170077728	5.081948239421002e-24
3.830570524261206	1.4000069054944542e-23
3.8424258784446836	3.645979177407079e-23
3.8542812326281615	8.975987877703647e-23
3.8661365868116393	2.088980572378941e-22
3.877991940995117	4.59590054190347e-22
3.889847295178595	9.558526180587997e-22
3.901702649362073	1.8792967793296805e-21
3.9135580035455506	3.492882661822967e-21
3.9254133577290284	6.1370118596388394e-21
3.9372687119125063	1.0193294870669427e-20
3.949124066095984	1.6005069467249945e-20
3.960979420279462	2.375676967548669e-20
3.9728347744629398	3.3335524948494954e-20
3.9846901286464176	4.422056720368544e-20
3.9965454828298954	5.545664492635166e-20
4.008400837013373	6.575487900805944e-20
4.020256191196851	7.372563528586258e-20
4.032111545380329	7.819496679387434e-20
4.043966899563807	7.85127635321808e-20
4.055822253747285	7.475069342849712e-20
4.067677607930762	6.772047305041046e-20
4.07953296211424	5.880513289744721e-20
4.091388316297718	4.9658994762382285e-20
4.103243670481196	4.186790079779644e-20
4.115099024664674	3.665825680855768e-20
4.1269543788481515	3.471136772286014e-20
4.138809733031629	3.610012527571832e-20
4.150665087215107	4.03367195435192e-20
4.162520441398585	4.6507340773397426e-20
4.174375795582063	5.346528783153397e-20
4.186231149765541	6.004826863120993e-20
4.1980865039490185	6.52779524114323e-20
4.209941858132496	6.849830613818187e-20
4.221797212315974	6.942317977749077e-20
4.233652566499452	6.809289486898833e-20
4.24550792068293	6.477167778946691e-20
4.257363274866408	5.983513245628277e-20
4.2692186290498855	5.3689606155374776e-20
4.281073983233363	4.6738519649736094e-20
4.292929337416841	3.938156163696474e-20
4.304784691600319	3.2018139450212375e-20
4.316640045783797	2.503258626601335e-20
4.328495399967275	1.875776119637542e-20
4.340350754150752	1.3431644613395885e-20
4.35220610833423	9.167642020301049e-21
4.364061462517708	5.952266995207636e-21
4.375916816701186	3.670379353622552e-21
4.387772170884664	2.1469078319102277e-21
4.399627525068142	1.1901212077608746e-21
4.411482879251619	6.248104746313327e-22
4.423338233435097	3.105037315325592e-22
4.435193587618575	1.4601162192285742e-22
4.447048941802053	6.495224198501122e-23
4.458904295985531	2.7327687587826656e-23
4.470759650169009	1.0873085189356915e-23
4.482615004352486	4.090721577843043e-24
4.494470358535964	1.4551661404426103e-24
4.506325712719442	4.894044653916411e-25
4.51818106690292	1.5561430366699613e-25
4.530036421086398	4.677841471552445e-26
4.541891775269875	1.3293745705573794e-26
4.5537471294533525	3.571486286521098e-27
4.56560248363683	9.070807531778728e-28
4.577457837820308	2.1778857459576716e-28
4.589313192003786	4.943267688764037e-29
4.601168546187264	1.0606727779781308e-29
4.613023900370742	2.151472481087294e-30
4.624879254554219	4.125498178942225e-31
4.636734608737697	7.478295576925916e-32
4.648589962921175	1.2814865071163653e-32
4.660445317104653	2.075918594052482e-33
4.672300671288131	3.179005237277898e-34
4.684156025471609	4.6021063290784713e-35
4.696011379655086	6.298054543385119e-36
4.707866733838564	8.147801986689045e-37
4.719722088022042	9.964573927639944e-38
4.73157744220552	1.1520230717156499e-38
4.743432796388998	1.259063878471837e-39
4.755288150572476	1.3008237999758774e-40
