# Energy / (eV)	Cross section / cm² per molecule, gaussian broadening, width = 0.05 eV
2.8868563272293404	1.6191092896592656e-216
2.8987749655003556	2.007505833763897e-213
2.9106936037713713	2.351582235984963e-210
2.9226122420423866	2.602472979397579e-207
2.934530880313402	2.721040404955274e-204
2.946449518584417	2.6878588330033747e-201
2.9583681568554328	2.5084221332680722e-198
2.970286795126448	2.21165558272048e-195
2.9822054333974632	1.8422860822544354e-192
2.9941240716684785	1.4498375708738347e-189
3.006042709939494	1.0779641850335342e-186
3.0179613482105094	7.572024617289732e-184
3.0298799864815247	5.025073356671355e-181
3.0417986247525404	3.150616174409493e-178
3.0537172630235556	1.866256330175693e-175
3.065635901294571	1.0444070453451628e-172
3.077554539565586	5.521931249896432e-170
3.089473177836602	2.758258092244049e-167
3.101391816107617	1.3016718418992862e-164
3.1133104543786323	5.803511144586483e-162
3.125229092649648	2.444572031924311e-159
3.1371477309206632	9.728313513255565e-157
3.1490663691916785	3.657589659301312e-154
3.1609850074626937	1.2991972931415692e-151
3.1729036457337094	4.359914138452425e-149
3.1848222840047247	1.3823036970828592e-146
3.19674092227574	4.1404896744413193e-144
3.2086595605467556	1.17171676988212e-141
3.220578198817771	3.1326818352207903e-139
3.232496837088786	7.9128445757287405e-137
3.2444154753598013	1.888303009655018e-134
3.256334113630817	4.257291999994969e-132
3.2682527519018323	9.068133297035472e-130
3.2801713901728475	1.8248411074303251e-127
3.292090028443863	3.4694043532153687e-125
3.3040086667148785	6.231713605646392e-123
3.3159273049858937	1.0575057959740609e-120
3.327845943256909	1.6954333826582743e-118
3.339764581527924	2.568037771446472e-116
3.35168321979894	3.6748937549316216e-114
3.363601858069955	4.968335003018506e-112
3.3755204963409704	6.34599402572206e-110
3.387439134611986	7.657925722326924e-108
3.3993577728830013	8.730625181357166e-106
3.4112764111540166	9.403775255747024e-104
3.423195049425032	9.569336842711589e-102
3.4351136876960475	9.199922024027906e-100
3.4470323259670628	8.356206313188818e-98
3.458950964238078	7.170622593489238e-96
3.4708696025090937	5.813360824697216e-94
3.482788240780109	4.452668851800629e-92
3.494706879051124	3.2220792553939066e-90
3.5066255173221395	2.202798354988537e-88
3.518544155593155	1.4227741681784827e-86
3.5304627938641704	8.682002429272846e-85
3.5423814321351856	5.0052588002614864e-83
3.5543000704062013	2.7261884666090806e-81
3.5662187086772166	1.4028392800592227e-79
3.578137346948232	6.819973118492604e-78
3.590055985219247	3.1324208878454806e-76
3.6019746234902628	1.3592528840179695e-74
3.613893261761278	5.572410711744728e-73
3.6258119000322933	2.1582844265908587e-71
3.637730538303309	7.897632830784897e-70
3.649649176574324	2.730284505792176e-68
3.6615678148453394	8.917468282613344e-67
3.6734864531163547	2.7516801158523673e-65
3.68540509138737	8.021895887555934e-64
3.6973237296583856	2.209422641407344e-62
3.709242367929401	5.7491452704008116e-61
3.7211610062004166	1.4133524251050364e-59
3.733079644471432	3.282618083490093e-58
3.744998282742447	7.202992295465499e-57
3.7569169210134623	1.4932352937174638e-55
3.7688355592844776	2.9245984510634014e-54
3.7807541975554932	5.411615704637479e-53
3.7926728358265085	9.460418629587517e-52
3.8045914740975237	1.5624871854836572e-50
3.8165101123685394	2.4380649846974862e-49
3.8284287506395547	3.5941549273449376e-48
3.84034738891057	5.005771408100898e-47
3.852266027181585	6.5867008065678214e-46
3.864184665452601	8.188183430994547e-45
3.876103303723616	9.616784697832614e-44
3.888021941994632	1.0670749541090149e-42
3.899940580265647	1.118620214664406e-41
3.9118592185366623	1.1078809720493726e-40
3.9237778568076775	1.036635904824107e-39
3.935696495078693	9.163936979953786e-39
3.947615133349708	7.653509828542146e-38
3.9595337716207237	6.038956454155762e-37
3.971452409891739	4.501796458112659e-36
3.9833710481627547	3.1705347364126665e-35
3.99528968643377	2.109608563053361e-34
4.007208324704785	1.3261539614997835e-33
4.0191269629758	7.876054591023913e-33
4.031045601246816	4.4192257943252127e-32
4.042964239517831	2.3426443954336305e-31
4.054882877788847	1.1732464539396577e-30
4.066801516059862	5.5513017477522526e-30
4.0787201543308775	2.4815505268443917e-29
4.090638792601893	1.0480309624719448e-28
4.102557430872908	4.181651231791901e-28
4.114476069143923	1.5763193466451209e-27
4.1263947074149385	5.613882352880972e-27
4.138313345685955	1.8888832342350716e-26
4.15023198395697	6.004400050139186e-26
4.162150622227985	1.8032536976463748e-25
4.174069260499	5.116426578195461e-25
4.185987898770016	1.3715112192492045e-24
4.197906537041031	3.4733990906994654e-24
4.209825175312046	8.310606346994878e-24
4.221743813583062	1.8785962012708578e-23
4.2336624518540775	4.011962561756457e-23
4.245581090125093	8.09474192002349e-23
4.257499728396108	1.5430210316543332e-22
4.269418366667123	2.778839014501028e-22
4.2813370049381385	4.728001799153404e-22
4.293255643209154	7.600017319603353e-22
4.30517428148017	1.1541818332098788e-21
