# Energy / (eV)	Cross section / cm² per molecule, gaussian broadening, width = 0.05 eV
2.1645991358392194	1.7720981338681922e-215
2.1775338974097775	4.022100517314555e-212
2.1904686589803357	8.537951536710063e-209
2.203403420550894	1.6950794715500053e-205
2.216338182121452	3.1474733167973465e-202
2.22927294369201	5.466000452387759e-199
2.242207705262568	8.877953852799176e-196
2.255142466833126	1.3486265860290161e-192
2.2680772284036843	1.916047027006331e-189
2.2810119899742425	2.5459872532668537e-186
2.2939467515448007	3.164039521221511e-183
2.306881513115359	3.677588965923729e-180
2.319816274685917	3.997791033007428e-177
2.332751036256475	4.064551259937498e-174
2.3456857978270333	3.8649220045827527e-171
2.3586205593975915	3.4371974181794643e-168
2.3715553209681492	2.8589320498905175e-165
2.3844900825387074	2.224020588724331e-162
2.3974248441092656	1.6181150121288136e-159
2.4103596056798238	1.101071659436106e-156
2.423294367250382	7.007407851740289e-154
2.43622912882094	4.170948428763683e-151
2.4491638903914983	2.3219232400075622e-148
2.4620986519620565	1.2089170711983999e-145
2.475033413532614	5.886820260585151e-143
2.4879681751031724	2.681023712489524e-140
2.5009029366737305	1.1419738207821822e-137
2.5138376982442887	4.5493280480335767e-135
2.526772459814847	1.695016673912981e-132
2.539707221385405	5.906582965223988e-130
2.5526419829559632	1.9250156119702793e-127
2.5655767445265214	5.867698861183575e-125
2.5785115060970796	1.6727729302880613e-122
2.5914462676676377	4.460071081866038e-120
2.604381029238196	1.112198185828124e-117
2.617315790808754	2.593929677695018e-115
2.630250552379312	5.65808968909734e-113
2.64318531394987	1.1542956802260842e-110
2.656120075520428	2.2024189088117185e-108
2.6690548370909863	3.9302339000693406e-106
2.6819895986615445	6.559526354096318e-104
2.6949243602321027	1.0239109296334285e-101
2.707859121802661	1.494815147636621e-99
2.720793883373219	2.0410254262131716e-97
2.7337286449437768	2.6064233253481493e-95
2.746663406514335	3.1129855573128826e-93
2.759598168084893	3.47732170735455e-91
2.7725329296554513	3.632856566141402e-89
2.7854676912260095	3.5496639868902573e-87
2.7984024527965676	3.243858124545996e-85
2.811337214367126	2.7725033016212896e-83
2.824271975937684	2.216245701846677e-81
2.837206737508242	1.6569116610349608e-79
2.8501414990788003	1.1585543609848716e-77
2.8630762606493585	7.576508102155767e-76
2.8760110222199167	4.634014427176956e-74
2.8889457837904744	2.650826387265579e-72
