# Energy / (eV)	Cross section / cm² per molecule, gaussian broadening, width = 0.05 eV
2.4152950607526713	5.409988015670846e-216
2.4286875946156488	1.61215075022515e-212
2.4420801284786258	4.4715440595998355e-209
2.455472662341603	1.1543883705504945e-205
2.4688651962045807	2.7738884068704516e-202
2.482257730067558	6.203955815520179e-199
2.495650263930535	1.2914902556080773e-195
2.5090427977935126	2.50239787330166e-192
2.52243533165649	4.512990831267904e-189
2.5358278655194675	7.5755727964368e-186
2.5492203993824445	1.1836124320061459e-182
2.562612933245422	1.7212607548644385e-179
2.5760054671083994	2.3298449431168986e-176
2.589398000971377	2.935287723765953e-173
2.602790534834354	3.442054634671846e-170
2.6161830686973313	3.756889192067314e-167
2.6295756025603088	3.816653130896013e-164
2.642968136423286	3.608949646179737e-161
2.656360670286263	3.1763104011048385e-158
2.6697532041492407	2.6020114650659574e-155
2.683145738012218	1.9839915420034976e-152
2.6965382718751956	1.4080399295001378e-149
2.7099308057381726	9.301112319151076e-147
2.72332333960115	5.71873285372161e-144
2.7367158734641275	3.2727285944278593e-141
2.7501084073271045	1.7432742501899218e-138
2.763500941190082	8.643055213273839e-136
2.7768934750530594	3.988549981292008e-133
2.790286008916037	1.7132049828110545e-130
2.803678542779014	6.849368756969844e-128
2.8170710766419913	2.5488197350270874e-125
2.8304636105049688	8.828267966060112e-123
2.843856144367946	2.8461658599249594e-120
2.857248678230923	8.54070569861235e-118
2.8706412120939007	2.3854853329897625e-115
2.884033745956878	6.201686721570276e-113
2.8974262798198556	1.50069926255785e-110
2.9108188136828326	3.3800960126599626e-108
2.92421134754581	7.086254427631302e-106
2.9376038814087875	1.3827945734673085e-103
2.9509964152717645	2.5116132796342074e-101
2.964388949134742	4.246225878977519e-99
2.9777814829977194	6.682050601749191e-97
2.991174016860697	9.787550016138696e-95
3.0045665507236743	1.3344340658463492e-92
3.0179590845866513	1.693481955364462e-90
3.0313516184496287	2.0004417507692445e-88
3.044744152312606	2.199554949373993e-86
3.058136686175583	2.251174278310829e-84
3.0715292200385607	2.144622184287067e-82
3.084921753901538	1.901787492285684e-80
3.0983142877645156	1.569802496037089e-78
3.111706821627493	1.2061529675990547e-76
3.12509935549047	8.626543686265535e-75
3.1384918893534475	5.743164580273342e-73
